"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"1",291961,"Friends","6","20","Phoebe","Oh! All right. Now, let's not do this!",1,"female",29196,2000,7,"1998-2001"
"2",24692,"Friends","5","23","Phoebe","She sells drugs to kids. (The guard looks at the lurker.)",1,"female",24692,1999,10,"1998-2001"
"3",337424,"Frasier","7","21","Kenny","So, what are you celebrating?  Not your ratings, huh!  I'm kidding, you've gotta kid!  If you don't laugh, you cry, right?  So, did I hear a rumor that you're going up on the wall of fame?",0,"male",33742,2000,39,"1998-2001"
"4",28806,"Friends","6","19","Rachel","Well, yknow its just been so long since Ive been to Chuckie Cheese.",1,"female",28806,2000,12,"1998-2001"
"5",270551,"Friends","6","11","Phoebe","You bought your sheets at a flea market? Ross come on, you gotta loosen the purse strings a little.",1,"female",27055,2000,18,"1998-2001"
"6",285961,"Friends","6","18","Phoebe","Oh, its bad. Its really bad. The only thing in there that isnt burned is an ass. Which I do not remember buying!",1,"female",28596,2000,22,"1998-2001"
"7",320181,"Friends","7","7","Rachel","Okay? Wait okay, tell-tell me that you like him, please? I mean tell me that you like him.",1,"female",32018,2000,17,"1998-2001"
"8",302955,"Frasier","7","5","Roz","Just because I'm gonna miss certain things about Bulldog doesn't mean I need to rush out and get married.  Look at this week I've had.  Three guys interested in me and not to mention Bulldog.  I'm liking this!Single life is pretty good.",1,"female",30295,1999,44,"1998-2001"
"9",235375,"Frasier","5","23","Niles","Frasier, you had car trouble, it can happen to anyone.",0,"male",23537,1998,9,"1998-2001"
"10",313875,"Frasier","7","10","Frasier","Oh, good God!  Oh, Eddie, please just shoo!  Get off me, get off me!",0,"male",31387,1999,15,"1998-2001"
"11",304325,"Frasier","7","6","Roz","Well, Niles is small, we can share.",1,"female",30432,1999,6,"1998-2001"
"12",175401,"Friends","4","16","Rachel","Well, congratulations, so do you love her?",1,"female",17540,1998,6,"1998-2001"
"13",23847,"Friends","5","21","Phoebe","Which is why my answer is yes!",1,"female",23847,1999,6,"1998-2001"
"14",312921,"Friends","7","4","Joey","Was she happy you gave her the job?",0,"male",31292,2000,7,"1998-2001"
"15",322695,"Frasier","7","14","Daphne","Shall I close, Dr. Crane?",1,"female",32269,2000,4,"1998-2001"
"16",35140,"Friends","7","20","Rachel","Oh does it matter?! All that matters is that you look so handsome.",1,"female",35140,2001,12,"1998-2001"
"17",199291,"Friends","5","3","Phoebe","Okay, doctor says any minute now.",1,"female",19929,1998,5,"1998-2001"
"18",317411,"Friends","7","6","Rachel","Okay. Okay fine, yknow what? We will let Ross and Joey decide. (Ross enters.) (In a sexy voice.) Hiiiii, Ross! Sweetie.",1,"female",31741,2000,20,"1998-2001"
"19",367711,"Friends","8","3","Monica","I cant believe were here.",1,"female",36771,2001,4,"1998-2001"
"20",356285,"Frasier","8","6","Martin","Well, that's a big one.",0,"male",35628,2000,4,"1998-2001"
"21",238621,"Friends","5","21","Joey","Whoa-whoa you guys, it's not a cat!",0,"male",23862,1999,6,"1998-2001"
"22",355511,"Friends","7","22","Monica","Relax! Youll be fine. (Chandler exhales and turns off the table light.) Oh much better. Youre invisible now.",1,"female",35551,2001,17,"1998-2001"
"23",388385,"Frasier","8","21","Frasier","Well, you're a very lucky young man, Kirby.  You know, I loved studying U.S. history.  What could be more fascinating than the rich and unfolding epic of the very soil on which we live?",0,"male",38838,2001,35,"1998-2001"
"24",2766110,"Frasier","6","17","Niles","I'm the one that invited her, so that makes you that other one!",0,"male",27661,1999,12,"1998-2001"
"25",413864,"Seinfeld","9","14","JERRY","So, you're in a relationship with a woman you don't like, and you're having an affair with a woman that won't have sex with you.",0,"male",41386,1998,24,"1998-2001"
"26",2649110,"Frasier","6","12","Frasier","Well, that's the beauty of it.  It's like a date, but it's not a date.  Just, you know, make small talk, you pass the dip.",0,"male",26491,1999,26,"1998-2001"
"27",266405,"Frasier","6","13","Frasier","God, that was funny.  Do you remember the expression on his face?",0,"male",26640,1999,12,"1998-2001"
"28",359985,"Frasier","8","8","Kenny","Of course not, we're giving Mary the morning drift shift.",0,"male",35998,2000,9,"1998-2001"
"29",430864,"Seinfeld","9","23","ELAINE","Why are they doing this?",1,"female",43086,1998,4,"1998-2001"
"30",316505,"Frasier","7","11","Daphne","Donny, please!  Can't you see you're making him uncomfortable!",1,"female",31650,1999,9,"1998-2001"
"31",278795,"Frasier","6","18","Frasier","I'm trying to, I just can't find one.",0,"male",27879,1999,7,"1998-2001"
"32",384555,"Frasier","8","19","Daphne","Are you saying you don't think I'm psychic?!",1,"female",38455,2001,7,"1998-2001"
"33",321744,"Frasier","7","14","Roz","Why is that so hard to believe?  I like to read.",1,"female",32174,2000,11,"1998-2001"
"34",185381,"Friends","4","20","Monica","Okay! My turn! My turn!",1,"female",18538,1998,4,"1998-2001"
"35",321165,"Frasier","7","13","Frasier","I thought as much, and in anticipation of your approval, I had the forethought to order in a little bubbly.  Niles, if you would help me, please?",0,"male",32116,2000,27,"1998-2001"
"36",314791,"Friends","7","5","Ross","All right! I want my key back!",0,"male",31479,2000,6,"1998-2001"
"37",285535,"Frasier","6","22","Frasier","Yes, I said the opera, not the porcelain crying crown figurine!",0,"male",28553,1999,10,"1998-2001"
"38",217886,"Frasier","5","15","Lilith","...who's apparently having a bit too much fun loving.",1,"female",21788,1998,8,"1998-2001"
"39",209566,"Frasier","5","10","Niles","I've spoken to Daphne.  I take it it's over over there.",0,"male",20956,1998,11,"1998-2001"
"40",329851,"Friends","7","11","Phoebe","Oh, youre such a gentleman. (Grabs his arm.) Come on! Were going to my place! (Drags him off to her place.)",1,"female",32985,2001,20,"1998-2001"
"41",205621,"Friends","5","6","Phoebe","I think he's right. You guys hang out at the coffeehouse way too much.",1,"female",20562,1998,13,"1998-2001"
"42",404974,"Seinfeld","9","11","GEORGE","Perhaps you could look again, please? I'm very hungry.",0,"male",40497,1998,8,"1998-2001"
"43",260485,"Frasier","6","10","Niles","Oh all right, but he'll probably just kvetch at me and frankly I don't need that tsuris.",0,"male",26048,1998,16,"1998-2001"
"44",273011,"Friends","6","12","Phoebe","Oh, okay, (laughing) youre not a pushover.",1,"female",27301,2000,6,"1998-2001"
"45",176601,"Friends","4","16","Rachel","Ohh, here you are. I was looking for you before. Joshuas gone so you and Emily are free to go.",1,"female",17660,1998,19,"1998-2001"
"46",362365,"Frasier","8","9","Frasier","Then there is no pure art.",0,"male",36236,2001,5,"1998-2001"
"47",4110110,"Frasier","9","9","Daphne","Well, good for you.  And I'll nip out to the market now.",1,"female",41101,2001,12,"1998-2001"
"48",284651,"Friends","6","17","Chandler","Oh, its okay. I dont",0,"male",28465,2000,4,"1998-2001"
"49",392725,"Frasier","8","24","Martin","Well, I just want to say that I'm not the only fisherman in the family.  In fact, I'm not even the best one.  One year ago, after seven years of trying to get her to bite, Niles finally hooked Daphne.  And I think we'd all agree that she's quite a catch.",0,"male",39272,2001,53,"1998-2001"
"50",221571,"Friends","5","14","Rachel","Uh-huh, doing it. Doing it. Phone doing it.",1,"female",22157,1999,7,"1998-2001"
"51",185121,"Friends","4","20","Joey","(still looking in date book) Hey! Thats the day after I stop menstruating! (They all look at him.) This isnt mine.",0,"male",18512,1998,20,"1998-2001"
"52",206851,"Friends","5","7","Phoebe","Yeah, but then I can be you sidekick Vunda.",1,"female",20685,1998,8,"1998-2001"
"53",406265,"Frasier","9","7","Martin","You threw my chair off the balcony?!",0,"male",40626,2001,6,"1998-2001"
"54",235196,"Frasier","5","23","Frasier","Yes, yes, I know,  I know.See you then.",0,"male",23519,1998,8,"1998-2001"
"55",207956,"Frasier","5","10","Martin","King bets, fifty cents.  Yeah, I've been to Hank's, right next to Mike's Hardware, right?",0,"male",20795,1998,15,"1998-2001"
"56",310655,"Frasier","7","9","Martin","Wait, wait, what are you doing?!",0,"male",31065,1999,5,"1998-2001"
"57",219876,"Frasier","5","15","Frasier","Well... that is very impressive, Dr. Sternin.  But I too happen to be a psychiatrist.  Let me tell you what actually transpired.  This was a passive-aggressive manifestation of your deep resentments towards me.  Niles, you were punishing me for my notoriety.You, for my successful adjustment after our divorce.  It is this shared bond that brought the two of you to your palace of sweet revenge!",0,"male",21987,1998,69,"1998-2001"
"58",169251,"Friends","4","13","Chandler","Well, I may be drunk, but I know what she said! Then I went over to Beefsteak Julies",0,"male",16925,1998,17,"1998-2001"
"59",411155,"Frasier","9","9","Daphne","How about ""Message in a Bottle""?",1,"female",41115,2001,5,"1998-2001"
"60",246471,"Friends","5","23","Chandler","Yes! I love you! I've never loved anybody as much as I love you.",0,"male",24647,1999,13,"1998-2001"
"61",402065,"Frasier","9","5","Roz","What doesn't he do?  He sends me flowers and gives me massages and he's just great.",1,"female",40206,2001,16,"1998-2001"
"62",186401,"Friends","4","21","Joey","We could get that Everest video though.",0,"male",18640,1998,6,"1998-2001"
"63",320895,"Frasier","7","13","Daphne","Oh, well, after all, it is the world premiere of your theme song.",1,"female",32089,2000,12,"1998-2001"
"64",215366,"Frasier","5","13","Frasier","Well, come and get us, Seattle!  Three Cranes, no waiting!",0,"male",21536,1998,10,"1998-2001"
"65",275801,"Friends","6","13","Ross","Yeah but after you said it was okay, I figured, ""Why not?!""",0,"male",27580,2000,11,"1998-2001"
"66",3090110,"Frasier","7","8","Frasier","No, no, no, I'm going jogging later.",0,"male",30901,1999,6,"1998-2001"
"67",22445,"Friends","5","15","Phoebe","Yeah. I really like his glasses.",1,"female",22445,1999,5,"1998-2001"
"68",337935,"Frasier","7","21","Frasier","No, no, actually, there was a little incident involving Niles, too.  He was doing just fine until Stefano took him in some sort of a bear hug and shook him a little too vigorously.",0,"male",33793,2000,34,"1998-2001"
"69",381825,"Frasier","8","18","Frasier","All right, Dad, then we just won't talk about it.  Besides, I'm through with wine club.",0,"male",38182,2001,16,"1998-2001"
"70",360735,"Frasier","8","8","Martin","No, no, that'd be cheating.  No opening presents till Christmas morning.",0,"male",36073,2000,11,"1998-2001"
"71",264271,"Friends","6","8","Ross","Oh, hey, hey Rach, do you notice anything..ahh",0,"male",26427,1999,7,"1998-2001"
"72",252951,"Friends","6","3","Phoebe","No. No, I wont. But I should tell you this, this exact same thing happened to my roommate Denise. She moved in with a guy who was secretly married to her and he said he didnt love her, but he really did, and it just blew up! And thats how she ended up living with me! (Ross looks at her.) (Pause) Okay, thats a lie.",1,"female",25295,1999,64,"1998-2001"
"73",217851,"Friends","5","12","Monica","I'm telling you, something's wrong! My brother does not stay out all night.",1,"female",21785,1999,12,"1998-2001"
"74",215676,"Frasier","5","14","Martin","I'd love a cold Ballantine!",0,"male",21567,1998,4,"1998-2001"
"75",324011,"Friends","7","9","Phoebe","Yeah, and theyve been coming by all day. They love it!",1,"female",32401,2000,10,"1998-2001"
"76",216131,"Friends","5","11","Joey","Really?! Uhh, what color is it?",0,"male",21613,1999,5,"1998-2001"
"77",249305,"Frasier","6","5","Frasier","Are they ever.  I find her more enchanting each day.  You know what?  And I am particularly intrigued by this recurring dream she has.  She's in the woods, she's being pursued by a hunter and get this, when she turns to confront her pursuer, the hunter has no face.",0,"male",24930,1998,52,"1998-2001"
"78",380285,"Frasier","8","17","Frasier","And you wouldn't want that, now would you, Dad?  Here we are.",0,"male",38028,2001,12,"1998-2001"
"79",17105,"Friends","4","14","Phoebe","It kicked! I think the baby kicked!",1,"female",17105,1998,6,"1998-2001"
"80",357191,"Friends","7","23","Monica","All right, Im gonna go steam my wedding dress okay? Who wants the responsibility of making sure nothing happens to it?",1,"female",35719,2001,20,"1998-2001"
"81",220456,"Frasier","5","16","Daphne","Mr. Crane, Dr. Rudnik asked me to monitor your blood pressure, and I'd like to get an accurate reading.",1,"female",22045,1998,18,"1998-2001"
"82",346961,"Friends","7","18","Rachel","(entering from her room) Honey, we have to go. Our reservations are at 8:00.",1,"female",34696,2001,13,"1998-2001"
"83",358991,"Friends","7","23","Monica","Okay, youre-youre really freaking me out.",1,"female",35899,2001,5,"1998-2001"
"84",358285,"Frasier","8","7","Frasier","Yes, of course.  Oh come on,I'll get you through this.",0,"male",35828,2000,10,"1998-2001"
"85",300555,"Frasier","7","5","Frasier","So, Dad, how was the funeral?",0,"male",30055,1999,5,"1998-2001"
"86",385225,"Frasier","8","20","Frasier","Oh, yes, of course.  I'm terribly sorry.  Oh, Roz, meet Dr. Tewksbury.  Dr. Tewksbury, this is my producer Roz Doyle. And my brother Niles.  Niles, Dr. Tewksbury.",0,"male",38522,2001,30,"1998-2001"
"87",170261,"Friends","4","14","Joey","Look, theres nothing I can do for him right now, hes still in his sweat pants, thats still Phase One. Y'know? Ill be back for Phase Two, I would never miss Phase Two.",0,"male",17026,1998,32,"1998-2001"
