"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"1",11326,"The Big Bang Theory","03","07 – The Guitarist Amplification","Leonard","Just give us a minute.",0,"male",9565,2009,5,"2006-2009"
"2",206134,"The Office","5","22","Michael","Oh. Wow. ""Michael Scott Paper Company."" Okay. Very official. ""Dear Mr. Scott. Please be advised that it is in violation of your condominium agreement to conduct a business headquartered in your residence. The penalty, a forfeiture of residence.""",0,"male",20613,2009,37,"2006-2009"
"3",227163,"The Office","6","3","Michael","Or David Wallace will call us on line two. Why don't we just--",0,"male",22716,2009,12,"2006-2009"
"4",7876,"The Big Bang Theory","02","15 – The Maternal Capacitance","Beverley","Your scan data will be very elpful to my research. You have a remarkable brain.",1,"female",6534,2009,15,"2006-2009"
"5",96544,"The Office","3","16","Michael","Yeah. Yeah. He's kind of a weirdo.",0,"male",9654,2007,6,"2006-2009"
"6",125394,"The Office","4","3","Michael","Hang up.  You know what we're gonna do? We're walking back. We're walking back to that office and we're gonna reclaim our gift basket!",0,"male",12539,2007,24,"2006-2009"
"7",425512,"Parks and recreation","2","04","Leslie Knope","What if I don't bring up Darfur enough?",1,"female",4255,2009,7,"2006-2009"
"8",128874,"The Office","4","5","Angela","It should take no time at all if you put the care into it that you normally do.",1,"female",12887,2007,17,"2006-2009"
"9",67843,"How I met your mother","02","11","Lily","Oh, for the love of God, are you as sick of apologies as I am?",1,"female",6784,2006,14,"2006-2009"
"10",65662,"How I met your mother","02","10","Robin","How's it going, guys? Still enjoying the attentions of men?",1,"female",6566,2006,9,"2006-2009"
"11",330410,"Parks and recreation","2","02","Ann Perkins","So I'm going out with Mark.",1,"female",3304,2009,5,"2006-2009"
"12",170043,"How I met your mother","05","07","Lily","Independents. Every relationship goes through there.",1,"female",17004,2009,5,"2006-2009"
"13",61103,"Parks and recreation","2","08","Leslie Knope","Well, spare me the details.",1,"female",6110,2009,4,"2006-2009"
"14",246574,"The Office","6","10","Andy","Uh, not familiar, what province is he from?",0,"male",24657,2009,7,"2006-2009"
"15",1856,"The Big Bang Theory","01","07 – The Dumpling Paradox","Sheldon","And now you’re out of life. Why did you hit pause?",0,"male",1586,2007,11,"2006-2009"
"16",164854,"The Office","5","4","Jan","Being good isn't always easy / No matter how hard I try / When he started sweet-talking to me / He'd come and tell me everything is all right / He'd kiss and tell me everything is all right / Can I get away again tonight / The only one...",1,"female",16485,2008,49,"2006-2009"
"17",151603,"How I met your mother","04","21","Ted","This is my laptop, a text message.",0,"male",15160,2009,6,"2006-2009"
"18",6982,"The Big Bang Theory","02","11 – The Bath Item Gift Hypothesis","Penny","That’s what you took from that? The guy is married!",1,"female",5758,2008,10,"2006-2009"
"19",726,"The Big Bang Theory","01","03 – The Fuzzy Boots Corollary","Penny","Uh, six thirty’s great.",1,"female",642,2007,4,"2006-2009"
"20",248564,"The Office","6","11","Ryan","So should we wait to find out before we start doing all this stuff?",0,"male",24856,2009,13,"2006-2009"
"21",112173,"How I met your mother","03","17","Marshall","I'm sorry! I couldn't take it anymore.",0,"male",11217,2008,6,"2006-2009"
"22",75917,"The Office","3","7","Michael","...thing in the morning. Love to start my morning with a hearty bowl of Jan.",0,"male",7591,2006,14,"2006-2009"
"23",140212,"Parks and recreation","1","04","Leslie Knope","Actually, this is a little fun.",1,"female",1402,2009,5,"2006-2009"
