Unnamed: 0,Show,Season,Episode,Character,Line,Gender,Gender_label,Rownumber,Year,N_words,Year_groups,text,sentiment
435563,Frasier,10,1,Daphne,"I, Daphne Moon, do take thee, Niles Crane, as my husband.  I promise you my fidelity and my support, my laughter and my tears, my constant friendship and my unending love as long as we both shall live.",2,female,43556,2002,38,2002-2005,"I, Daphne Moon, do take thee, Niles Crane, as my husband.  I promise you my fidelity and my support, my laughter and my tears, my constant friendship and my unending love as long as we both shall live.",positive
435574,Frasier,10,1,Niles,"I, Niles Crane, do take thee, Daphne Moon, as my wife.  I vow to you my fidelity and my support, my honor and my respect, my honesty and my protection.  You are my comfort, my joy, and my one true love.  I will cherish you all the days of my life and treasure the journey that has brought us to this most wonderful perfect place.",1,male,43557,2002,67,2002-2005,"I, Niles Crane, do take thee, Daphne Moon, as my wife.  I vow to you my fidelity and my support, my honor and my respect, my honesty and my protection.  You are my comfort, my joy, and my one true love.  I will cherish you all the days of my life and treasure the journey that has brought us to this most wonderful perfect place.",positive
435583,Frasier,10,1,Niles,"Oh, no.  In my rush to get here, I completely forgot about them.",1,male,43558,2002,13,2002-2005,"Oh, no.  In my rush to get here, I completely forgot about them.",negative
435594,Frasier,10,1,Daphne,Does this mean we can't get married?,2,female,43559,2002,6,2002-2005,Does this mean we can't get married?,neutral
435603,Frasier,10,1,Daphne,They do seem the nicest.,2,female,43560,2002,4,2002-2005,They do seem the nicest.,positive
435619,Frasier,10,1,Daphne,"Oh, damn, who could be calling at this hour?",2,female,43561,2002,8,2002-2005,"Oh, damn, who could be calling at this hour?",negative
435624,Frasier,10,1,Niles,"Wow, you certainly don't see six and a half karat gold every day.",1,male,43562,2002,12,2002-2005,"Wow, you certainly don't see six and a half karat gold every day.",positive
435644,Frasier,10,1,Roz,"Daphne, it's Roz.  Quick, turn on your TV.  My building's on the news.",2,female,43564,2002,14,2002-2005,"Daphne, it's Roz.  Quick, turn on your TV.  My building's on the news.",neutral
435664,Frasier,10,1,Roz,"Some murder suicide thing, I'm gonna wave to you from my balcony.",2,female,43566,2002,10,2002-2005,"Some murder suicide thing, I'm gonna wave to you from my balcony.",negative
435694,Frasier,10,1,Daphne,"You're not going to believe this, but Niles and I flew to Reno and we're getting married right now!",2,female,43569,2002,18,2002-2005,"You're not going to believe this, but Niles and I flew to Reno and we're getting married right now!",positive
435724,Frasier,10,1,Niles,Apparently it's some sort of dolphin emergency.,1,male,43572,2002,6,2002-2005,Apparently it's some sort of dolphin emergency.,neutral
