"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"1",110006,"Seinfeld","1","1","JERRY","Do you know what this is all about? Do you know why we're here? To be out, this is out... and out is one of the single most enjoyable experiences of life. People... did you ever hear people talking about We should go out? This is what they're talking about... this whole thing, we're all out now, no one is home. Not one person here is home, we're all out! There are people tryin to find us, they don't know where we are. Did you ring?, I can't find him. Where did he go? He didn't tell me where he was going. He must have gone out. You wanna go out you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation... Then you're standing around, whatta you do? You go We gotta be getting back. Once you're out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, it's my feeling, you've gotta go.",0,"male",1,1989,188,"1989-1993"
"2",210007,"Seinfeld","1","1","JERRY","See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. It's too high! It's in no-mans-land. You look like you live with your mother.",0,"male",2,1989,36,"1989-1993"
"3",410007,"Seinfeld","1","1","JERRY","You do of course try on, when you buy?",0,"male",4,1989,8,"1989-1993"
"4",56000,"Seinfeld","1","1","GEORGE","Yes, it was purple, I liked it, I don't actually recall considering the buttons.",0,"male",5,1989,13,"1989-1993"
"5",71008,"Seinfeld","1","1","GEORGE","Uh, no, not at this time.",0,"male",7,1989,5,"1989-1993"
"6",81007,"Seinfeld","1","1","JERRY","Well, senator, I'd just like to know, what you knew and when you knew it.",0,"male",8,1989,14,"1989-1993"
"7",91008,"Seinfeld","1","1","GEORGE","Are, are you sure this is decaf? Where's the orange indicator?",0,"male",9,1989,10,"1989-1993"
"8",101006,"Seinfeld","1","1","JERRY","Can you relax, it's a cup of coffee. Claire is a professional waitress.",0,"male",10,1989,12,"1989-1993"
"9",111008,"Seinfeld","1","1","GEORGE","How come you're not doin' the second show tomorrow?",0,"male",11,1989,8,"1989-1993"
"10",121007,"Seinfeld","1","1","JERRY","Well, there's this uh, woman might be comin in.",0,"male",12,1989,8,"1989-1993"
"11",131008,"Seinfeld","1","1","GEORGE","Wait a second, wait a second, what coming in, what woman is coming in?",0,"male",13,1989,13,"1989-1993"
"12",141007,"Seinfeld","1","1","JERRY","I told you about Laura, the girl I met in Michigan?",0,"male",14,1989,10,"1989-1993"
"13",161008,"Seinfeld","1","1","JERRY","I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing...",0,"male",16,1989,22,"1989-1993"
"14",181007,"Seinfeld","1","1","JERRY","There's no milk in here, what...",0,"male",18,1989,5,"1989-1993"
"15",191008,"Seinfeld","1","1","GEORGE","Wait wait wait, what is she... What is she like?",0,"male",19,1989,9,"1989-1993"
"16",201008,"Seinfeld","1","1","JERRY","Oh, she's really great. I mean, she's got like a real warmth about her and she's really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better.",0,"male",20,1989,43,"1989-1993"
"17",211008,"Seinfeld","1","1","GEORGE","So, you know, what, what happened?",0,"male",21,1989,5,"1989-1993"
"18",221008,"Seinfeld","1","1","JERRY","Oh, nothing happened, you know, but is was great.",0,"male",22,1989,8,"1989-1993"
"19",231007,"Seinfeld","1","1","GEORGE","Oh, nothing happened, but it was...",0,"male",23,1989,5,"1989-1993"
"20",271007,"Seinfeld","1","1","GEORGE","So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!",0,"male",27,1989,19,"1989-1993"
"21",281007,"Seinfeld","1","1","JERRY","Yeah, well... not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together.",0,"male",28,1989,28,"1989-1993"
"22",291007,"Seinfeld","1","1","GEORGE","Ho ho ho, Had to? Had to come in?",0,"male",29,1989,8,"1989-1993"
"23",311006,"Seinfeld","1","1","GEORGE","Had to come in and maybe we'll get together? Had to and maybe?",0,"male",31,1989,12,"1989-1993"
"24",331007,"Seinfeld","1","1","GEORGE","No... no... no, I hate to tell you this. You're not gonna see this woman.",0,"male",33,1989,14,"1989-1993"
"25",341007,"Seinfeld","1","1","JERRY","What, are you serious... why, why did she call?",0,"male",34,1989,8,"1989-1993"
"26",351007,"Seinfeld","1","1","GEORGE","How do I know, maybe, you know, maybe she wanted to be polite.",0,"male",35,1989,12,"1989-1993"
"27",361007,"Seinfeld","1","1","JERRY","To be polite? You are insane!",0,"male",36,1989,5,"1989-1993"
"28",371007,"Seinfeld","1","1","GEORGE","All right, all right, I didn't want to tell you this. You wanna know why she called you?",0,"male",37,1989,17,"1989-1993"
"29",391007,"Seinfeld","1","1","GEORGE","You're a back-up, you're a second-line, a just-in-case, a B-plan, a contingency!",0,"male",39,1989,11,"1989-1993"
"30",401006,"Seinfeld","1","1","JERRY","Oh, I get it, this is about the button.",0,"male",40,1989,8,"1989-1993"
"31",411006,"Seinfeld","1","1","GEORGE","Claire, Claire, you're a woman, right?",0,"male",41,1989,5,"1989-1993"
"32",421007,"Seinfeld","1","1","GEORGE","Uhm... I'd like to ask you... ask you to analyze a hypothetical phone call, you know, from a female point of view.",0,"male",42,1989,21,"1989-1993"
"33",431007,"Seinfeld","1","1","GEORGE","Now, a woman calls me, all right?",0,"male",43,1989,6,"1989-1993"
"34",441006,"Seinfeld","1","1","GEORGE","She says she has to come to New York on business...",0,"male",44,1989,10,"1989-1993"
"35",461006,"Seinfeld","1","1","GEORGE","... and, and maybe she'll see me when she gets there, does this woman intend to spend time with me?",0,"male",46,1989,19,"1989-1993"
"36",471006,"Seinfeld","1","1","GEORGE","To be polite. I rest my case.",0,"male",47,1989,6,"1989-1993"
"37",481006,"Seinfeld","1","1","JERRY","Good. Did you have fun? You have no idea, what you're talking about, now, come on, come with me. I gotta go get my stuff out of the dryer anyway.",0,"male",48,1989,29,"1989-1993"
"38",491006,"Seinfeld","1","1","GEORGE","I'm not gonna watch you do laundry.",0,"male",49,1989,6,"1989-1993"
"39",501006,"Seinfeld","1","1","JERRY","Oh, come on, be a come-with guy.",0,"male",50,1989,6,"1989-1993"
"40",521004,"Seinfeld","1","1","GEORGE","Right, I knew I felt something!",0,"male",52,1989,5,"1989-1993"
"41",531005,"Seinfeld","1","1","GEORGE","Jerry? I have to tell you something. This is the dullest moment I've ever experienced.",0,"male",53,1989,14,"1989-1993"
"42",541004,"Seinfeld","1","1","JERRY","Well, look at this guy. Look, he's got everything, he's got detergents, sprays, fabric softeners. This is not his first load.",0,"male",54,1989,20,"1989-1993"
"43",551000,"Seinfeld","1","1","GEORGE","I need a break, Jerry, you know. I gotta get out of the city. I feel so cramped...",0,"male",55,1989,17,"1989-1993"
"44",56108,"Seinfeld","1","1","JERRY","And you didn't even hear how she sounded.",0,"male",56,1989,7,"1989-1993"
"45",59108,"Seinfeld","1","1","GEORGE","I can't believe- WE ALREADY DISCUSSED THIS!",0,"male",59,1989,6,"1989-1993"
"46",60108,"Seinfeld","1","1","JERRY","Yeah, but how could you be so sure?",0,"male",60,1989,7,"1989-1993"
"47",61108,"Seinfeld","1","1","GEORGE","'Cause it's signals, Jerry, it's signals! Don't you- all right. Did she even ask you, what you were doin' tomorrow night, if you were busy?",0,"male",61,1989,24,"1989-1993"
"48",63108,"Seinfeld","1","1","GEORGE","She calls you today and she doesn't make a plan for tomorrow? What is that? It's Saturday night!",0,"male",63,1989,17,"1989-1993"
"49",65108,"Seinfeld","1","1","GEORGE","What is that? It's ridiculous! You don't even know what hotel she's staying at, you can't call her. That's a signal, Jerry, that's a signal! Signal!",0,"male",65,1989,25,"1989-1993"
"50",67108,"Seinfeld","1","1","GEORGE","Maybe I'm right? Of course I'm right.",0,"male",67,1989,6,"1989-1993"
"51",68108,"Seinfeld","1","1","JERRY","This is insane. You know, I don't even know where she's staying! She, she's not gonna call me, this is unbelievable.",0,"male",68,1989,20,"1989-1993"
"52",69108,"Seinfeld","1","1","GEORGE","I know, I know. Listen, your stuff has to be done by now, why don't you just see if it's dry?",0,"male",69,1989,20,"1989-1993"
"53",70108,"Seinfeld","1","1","JERRY","No no no, don't interrupt the cycle. The machine is working, it, it knows what it's doing. Just let it finish.",0,"male",70,1989,20,"1989-1993"
"54",74107,"Seinfeld","1","1","JERRY","Same as you can't overwet. You see, once something is wet, it's wet. Same thing with death. Like once you die you're dead, right? Let's say you drop dead and I shoot you. You're not gonna die again, you're already dead. You can't overdie, you can't overdry.",0,"male",74,1989,46,"1989-1993"
"55",76108,"Seinfeld","1","1","JERRY","How could she not tell me where she was staying?",0,"male",76,1989,9,"1989-1993"
"56",77108,"Seinfeld","1","1","GEORGE","Look at that. They're done!",0,"male",77,1989,4,"1989-1993"
