"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"1",42244,"The Big Bang Theory","08","23 – The Maternal Combustion","Penny","Aw, it’s so nice. She’s gonna love it.",1,"female",36522,2015,8,"2014-2017"
"2",52167,"The Big Bang Theory","10","15 – The Locomotion Reverberation","Penny","Yeah, I guess I am making decent money.",1,"female",44914,2017,8,"2014-2017"
"3",35654,"The Big Bang Theory","07","18 – The Mommy Observation","Stuart","My phone doesn’t have a calendar. So I’ll just write it on my hand.",0,"male",30730,2014,14,"2014-2017"
"4",51677,"The Big Bang Theory","10","13 – The Romance Recalibration","Sheldon","Very well. Hey, later we’ll check out the minibar, I’ll show you how Godzilla gets drunk.",0,"male",44469,2017,16,"2014-2017"
"5",47305,"The Big Bang Theory","09","20 – The Big Bear Precipitation","Howard","And you’re not concerned he’s acting like somehow this is his kid, too?",0,"male",40802,2016,13,"2014-2017"
"6",523371,"Parks and recreation","7","04","Leslie Knope","Do my eyes deceive me? Is that Ron Swanson?",1,"female",52337,2015,8,"2014-2017"
"7",52384,"The Big Bang Theory","10","16 – The Allowance Evaporation","Bernadette","I’m sorry, Raj. We really just don’t have the space.",1,"female",45095,2017,10,"2014-2017"
"8",37435,"The Big Bang Theory","08","02 – The Junior Professor Solution","Sheldon","Okay. Um, what is the correct interpretation of quantum mechanics?",0,"male",32297,2014,10,"2014-2017"
"9",35538,"The Big Bang Theory","07","18 – The Mommy Observation","Leonard","Hmm, I’m a professor at Stanford.",0,"male",30620,2014,6,"2014-2017"
"10",51099,"The Big Bang Theory","10","11 – The Birthday Synchronicity","Leonard","If we find my backup inhaler, maybe we can get frisky.",0,"male",43936,2016,11,"2014-2017"
"11",507842,"Parks and recreation","7","01","Tom Haverford","Write down that I'm funny.",0,"male",50784,2015,4,"2014-2017"
"12",53557,"The Big Bang Theory","10","21 – The Separation Agitation","Penny","Aw, that’s so weird.",1,"female",46134,2017,4,"2014-2017"
"13",38142,"The Big Bang Theory","08","05 – The Focus Attenuation","Sheldon","Unlike Hot Tub Time Machine, this couldn’t be more simple. When Biff gets the almanac in 1955, the alternate future he creates isn’t the one in which Marty and Doc Brown ever use the time machine to travel to 2015. Therefore, in the new timeline, Marty and Doc never brought the time machine…",0,"male",32946,2014,53,"2014-2017"
"14",51904,"The Big Bang Theory","10","14 – The Emotion Detection Automation","Emily","Oh, yeah, that used to drive me nuts. He’s kind of a mama’s boy.",1,"female",44679,2017,14,"2014-2017"
"15",47120,"The Big Bang Theory","09","19 – The Solder Excursion Diversion","Penny","No. You know what? Don’t. Don’t. Let’s let them think they’re getting away with it.",1,"female",40634,2016,15,"2014-2017"
"16",39464,"The Big Bang Theory","08","11 – The Clean Room Infiltration","Howard","How the hell did a pigeon get in here?",0,"male",34076,2014,9,"2014-2017"
"17",459402,"Parks and recreation","6","10","Chris Traeger","That was a fantastic season finale and a show that is literally a neverending roller coaster of emotion.",0,"male",45940,2014,17,"2014-2017"
"18",50261,"The Big Bang Theory","10","07 – The Veracity Elasticity","Leonard","Look, I get it, this is still my room, we haven’t really made it yours.",0,"male",43243,2016,15,"2014-2017"
"19",49543,"The Big Bang Theory","10","04 – The Cohabitation Experimentation","Penny","Was that a science diss?",1,"female",42611,2016,5,"2014-2017"
"20",48722,"The Big Bang Theory","10","01 – The Conjugal Conjecture","Raj","I just read a book about Oppenheimer, seemed like a chance to show off. (Howard laughs) There he is, there’s my happy Hebraic homeboy. Yeah, that’s the smile I’m gonna remember when you’re living in the desert and I’m living with your wife.",0,"male",41934,2016,43,"2014-2017"
"21",38519,"The Big Bang Theory","08","07 – The Misinterpretation Agitation","Penny","I think the message is check out the rack on that scientist.",1,"female",33289,2014,12,"2014-2017"
"22",54162,"The Big Bang Theory","10","23 – The Gyroscopic Collapse","Amy","I don’t know what they look like, but sure.",1,"female",46665,2017,9,"2014-2017"
